,행정구역,연도,명
902,마포구,2013,4605316
903,마포구,2014,4583361
904,마포구,2015,4666647
905,마포구,2016,4612410
906,마포구,2017,4528744
907,마포구,2018,4495851
908,마포구,2019,4492215
909,마포구,2020,4484768
910,마포구,2021,4438868
911,마포구,2022,1105508
912,만안구,2011,3181078
913,만안구,2012,3080525
914,만안구,2013,3021181
915,만안구,2014,2981794
916,만안구,2015,2965441
917,만안구,2016,2971090
918,만안구,2017,3059674
919,만안구,2018,3037946
920,만안구,2019,2976977
921,만안구,2020,2895885
922,만안구,2021,2863422
923,만안구,2022,710136
924,목포시,2011,2938821
925,목포시,2012,2937668
926,목포시,2013,2907724
927,목포시,2014,2873139
928,목포시,2015,2861787
929,목포시,2016,2857691
930,목포시,2017,2827424
931,목포시,2018,2797156
932,목포시,2019,2767736
933,목포시,2020,2728774
934,목포시,2021,2647003
935,목포시,2022,655546
936,무안군,2011,902246
937,무안군,2012,911049
938,무안군,2013,931212
939,무안군,2014,969433
940,무안군,2015,983955
941,무안군,2016,985920
942,무안군,2017,990224
943,무안군,2018,987705
944,무안군,2019,978156
945,무안군,2020,993754
946,무안군,2021,1068967
947,무안군,2022,272989
948,무주군,2011,305142
949,무주군,2012,304452
950,무주군,2013,303756
951,무주군,2014,305052
952,무주군,2015,302706
953,무주군,2016,300537
954,무주군,2017,298453
955,무주군,2018,295980
956,무주군,2019,292595
957,무주군,2020,289108
958,무주군,2021,286414
959,무주군,2022,71224
960,문경시,2011,914859
961,문경시,2012,910131
962,문경시,2013,908129
963,문경시,2014,910163
964,문경시,2015,907096
965,문경시,2016,901233
966,문경시,2017,887701
967,문경시,2018,870219
968,문경시,2019,864081
969,문경시,2020,857403
970,문경시,2021,855592
971,문경시,2022,214324
972,미추홀구,2011,0
973,미추홀구,2012,0
974,미추홀구,2013,0
975,미추홀구,2014,0
976,미추홀구,2015,0
977,미추홀구,2016,0
978,미추홀구,2017,0
979,미추홀구,2018,2505174
980,미추홀구,2019,4952262
981,미추홀구,2020,4864764
982,미추홀구,2021,4865112
983,미추홀구,2022,1221427
984,밀양시,2011,1317040
985,밀양시,2012,1307982
986,밀양시,2013,1300832
987,밀양시,2014,1294928
988,밀양시,2015,1292391
989,밀양시,2016,1297059
990,밀양시,2017,1297140
991,밀양시,2018,1285922
992,밀양시,2019,1272589
993,밀양시,2020,1261378
994,밀양시,2021,1248520
995,밀양시,2022,310309
996,보령시,2011,1280962
997,보령시,2012,1270361
998,보령시,2013,1262030
999,보령시,2014,1255289
1000,보령시,2015,1255582
1001,보령시,2016,1250541
1002,보령시,2017,1240900
1003,보령시,2018,1229824
1004,보령시,2019,1216915
1005,보령시,2020,1206794
1006,보령시,2021,1187698
1007,보령시,2022,294068
1008,보성군,2011,579585
1009,보성군,2012,569406
1010,보성군,2013,560184
1011,보성군,2014,553561
1012,보성군,2015,544843
1013,보성군,2016,538075
1014,보성군,2017,528805
1015,보성군,2018,520248
1016,보성군,2019,504635
1017,보성군,2020,490905
1018,보성군,2021,478345
1019,보성군,2022,117743
1020,보은군,2011,417383
1021,보은군,2012,414639
1022,보은군,2013,411410
1023,보은군,2014,412151
1024,보은군,2015,410358
1025,보은군,2016,410761
1026,보은군,2017,409683
1027,보은군,2018,406060
1028,보은군,2019,399431
1029,보은군,2020,391339
1030,보은군,2021,384990
1031,보은군,2022,95483
1032,봉화군,2011,412475
1033,봉화군,2012,408709
1034,봉화군,2013,407242
1035,봉화군,2014,408220
1036,봉화군,2015,406197
1037,봉화군,2016,403592
1038,봉화군,2017,400438
1039,봉화군,2018,396900
1040,봉화군,2019,389933
1041,봉화군,2020,381304
1042,봉화군,2021,372675
1043,봉화군,2022,91911
1044,부산진구,2011,4738579
1045,부산진구,2012,4733020
1046,부산진구,2013,4703648
1047,부산진구,2014,4662386
1048,부산진구,2015,4626160
1049,부산진구,2016,4549259
1050,부산진구,2017,4494138
1051,부산진구,2018,4402971
1052,부산진구,2019,4311269
1053,부산진구,2020,4292765
1054,부산진구,2021,4274645
1055,부산진구,2022,1055380
1056,부안군,2011,714987
1057,부안군,2012,711697
1058,부안군,2013,700396
1059,부안군,2014,695885
1060,부안군,2015,686682
1061,부안군,2016,682296
1062,부안군,2017,676144
1063,부안군,2018,662705
1064,부안군,2019,645174
