,시도,매립지 수,총매립지 면적,총매립 용량,기매립량,잔여매립가능량,매립량(m³),매립량(톤),연간유지관리비,매립지 관리인원,연도,설치비
148,대전광역시,1,695788,8762000,7233887,1528113,254150,323741,6598,49,2019,154158
149,울산광역시,1,158500,2615000,982276,1632724,154272,95884,1608,16,2019,90463
150,세종특별자치시,2,27818,296592,75082,221510,5118,2886,334,3,2019,8964
151,경기도,9,571443,8285336,4183076,4102260,100799,103853,5831,45,2019,172562
152,강원도,24,1334272,18220523,13074226,5146297,358587,317501,18327,98,2019,415590
153,충청북도,12,478517,6053389,4424760,1628629,186200,199842,4458,44,2019,200457
154,충청남도,15,628032,7798287,4460385,3337902,123126,107743,6560,66,2019,215617
155,전라북도,13,824184,8688939,7315125,1373814,212112,194865,5178,80,2019,196586
156,전라남도,62,1393247,18924810,12319507,6605303,401217,263391,14624,241,2019,365631
157,경상북도,33,1036089,15848095,8575382,7272713,353382,238994,14819,182,2019,348082
158,경상남도,25,1511712,23926134,13672646,10253488,586586,364811,12759,124,2019,378799
159,제주특별자치도,10,460684,5832037,3420040,2411997,46731,75118,9966,34,2019,69844
