,cnterNm,rdnmadr,latitude,longitude,ar,carHoldCo,trtmntPrdlst,institutionNm
12,공공재활용기반시설,충청남도 부여군 장암면 북고로 201,36.23213261,126.9163324,1945.14,3,PET+PE+PP+PS+EPS인고트+유리병+폐지+우유팩+철캔 등,충청남도 부여군청
13,종합리싸이클링타운,전라북도 전주시 완산구 삼산길 51-24,35.79982581,127.0736932,44160,0,"플라스틱류, 고철.캔,유리병, 비닐류 등",전라북도 전주시청
14,합천군재활용선별장,경상남도 합천군 대양면 합천대로 2586-51,35.54941673,128.1734842,850,1,플라스틱+유리병+고지 등 재활용 전품목,환경위생과
15,해남군 재활용품 선별시설,전라남도 해남군 해남읍 호교길 73-265,34.56720876,126.5376835,1044.01,3,재활용품 선별,해남군수
16,강북구재활용센터,서울특별시 강북구 노해로 70,37.64183139,127.022653,316.6,2,중고가구가전,강북구청
17,홍성군 생활폐기물종합처리장,충청남도 홍성군 홍북읍 홍덕서로328,36.62185818,126.6265759,133363,5,플라스틱 외 6품목,충청남도 홍성군
18,금천구재활용센터,서울특별시 금천구 시흥대로 182,37.45017338,126.9027728,661,1,"가전제품류, 가구류, 의류, 도서 등",서울시 금천구청
19,금천구 지정 독산동 재활용센터,서울특별시 금천구 독산로 303,37.4737391,126.9030804,413,1,"가전제품류, 가구류, 의류, 도서 등",서울시 금천구청
20,부산광역시 기장군 재활용선별장,부산광역시 기장군 기장읍 소정안길 84,35.2066524,129.202335,949,4,스티로폼+플라스틱+투명페트 외 재활용가능자원,부산광역시 기장군청
21,서산시 재활용 센터(녹색가게),"충청남도 서산시 시장1로 4-4, 2층",36.78176269,126.4552843,249.38,1,"중고 의류, 재활용 장난감, 도서, 잡화 등",충청남도 서산시청
22,서대문구재활용센터,서울특별시 서대문구 연희로 292,37.58323052,126.9363911,1171.77,7,"가전제품, 가구 등",서대문구청 청소행정과
23,순천시자원순환센터,전라남도 순천시 주암면 동주로 2230-63,35.06809476,127.2483342,2391000,3,재활용품 선별,순천시청
24,과천시 재활용센터,경기도 과천시 구리안로 177,37.40717893,126.9932814,396,2,"가전, 가구",과천시
25,보은군 생활자원회수센터,충청북도 보은군 용암1길 13-6,36.493097,127.675862,1100,2,재활용품 선별,보은군
26,서구 재활용선별장,인천광역시 서구 거월로 39,37.58062551,126.647851,5981,1,"무단투기 폐기물 중 재활용가능자원 및 폐건전지, 폐형광등",자원순환과
27,의왕시재활용센터,경기도 의왕시 가나무로 20,37.33777051,126.9642594,12653,0,음시물처리시설+재활용선별장+압축파쇄시설+대형폐기물파쇄시설,경기도 의왕시청
28,광주광역시 동구 재활용선별장,광주광역시 동구 남문로 486(소태동),35.11504838,126.936147,410,1,"스티로폼,플라스틱,캔 외 재활용가능자원",광주광역시 동구청
29,청주시재활용센터,충청북도 청주시 청원구 내수로 28(주성동),36.68256185,127.4990738,594,3,"가전, 가구, 사무용가구로 재활용?재사용 가능한 제품",충청북도 청주시청
30,공공재활용 선별장,전라남도 화순군 한천면 덕음로 548,35.02069463,126.9907566,750,0,종이+고철+빈병+스티로폼 등,전라남도 화순군
31,대동알뜰매장,대전광역시 동구 용운로21 (대동),36.32843786,127.4456278,131.47,0,헌옷,대전광역시 동구청
32,영도구 재활용선별장,부산광역시 영도구 해양로 202,35.08794406,129.0719674,2639,2,재활용품,영도구청 청소행정과
33,진천음성 광역폐기물처리장 재활용선별시설,충청북도 음성군 맹동면 원중로 873-23,36.88718978,127.579352,3088.77,4,유리병+고철+파지+플라스틱,진천군 식산업자원과
34,안덕면 화순리 재활용 도움센터,제주특별자치도 서귀포시 안덕면 화순로 154-42,33.25043088,126.33042,95.02,0,생활쓰레기 배출,제주특별자치도 서귀포시청
35,광주광역시 서구 재활용선별장,광주광역시 서구 서창둑길 166(세하동),35.12151005,126.8264282,1680,6,"스티로폼,플라스틱,캔 외 재활용가능자원",광주광역시 서구청
36,광주광역시 북구 재활용선별장,광주광역시 북구 삼소로 205(대촌동),35.23723349,126.8569256,324,0,"스티로폼,잡병 등 재활용가능자원",광주광역시 북구청
37,진도군재활용선별시설,전라남도 진도군 군내면 한의길 115,34.53069593,126.2622759,800,8,종이+고철+철캔+페트 등,전남 진도군청
38,사하구재활용선별장,부산광역시 사하구 낙동대로 641,35.12021823,128.9629623,865,2,사하구 재활용품 선별,부산광역시 사하구청
39,(사)인천내일을 여는 집 계양구 재활용센터(계산점),인천광역시 계양구 계양대로205번길 11-3,37.54160178,126.7218744,1053,2,가전제품+가구 등,청소행정과
40,(사)한국생활자원재활용협회,인천광역시 계양구 장제로743번길 14,37.53453818,126.7334971,642,2,가전제품+가구 등,청소행정과
41,은평구 재활용센터,서울특별시 은평구 수색동 수색로24길 16 수색동재활용집하시설,37.59131729,126.8845899,497,2,"가구류,가전제품",서울특별시 은평구청
42,강남구재활용센터,서울특별시 강남구 개포로 247,37.479138,127.0494793,660,4,가전가구류,서울특별시 강남구청
43,리싸이클세상,서울특별시 강남구 논현로 115길 7,37.50883463,127.0325018,781,3,가전가구류,서울특별시 강남구청
44,중앙 재활용 도움센터,제주특별자치도 서귀포시 중앙로62번길 18(서귀동),33.2501708,126.5636786,92.4,0,생활쓰레기 배출,제주특별자치도 서귀포시청
45,성북구재활용센터,서울특별시 성북구 화랑로 148 (상월곡동),37.6055044,127.0474002,305,2,가전+가구,성북구청 청소행정과
46,광주광역시 동구 재활용선별장,광주광역시 동구 남문로 486(소태동),35.1150617,126.936132,410,3,스티로폼+플라스틱+캔+재활용가능자원,광주광역시 동구
47,성동구 재활용센터,서울특별시 성동구 천호대로 78길 58,37.55691625,127.054969,72,1,전자레인지+전기오븐+전기그릴+공기청정기,서울특별시 성동구청
48,김포시재활용수집소,경기도 김포시 금포로1119,37.64624046,126.7056753,1912.92,13,"종이류(신문, 파지, 우유팩) 외 11종",경기도 김포시청
49,인제군 공공재활용선별시설,강원도 인제군 북면 금강로 221,38.13766188,128.212133,881.86,7,파지+PET+PP+캔,강원도 인제군청
50,농촌폐기물종합처리시설,전라남도 담양군 담양읍 태봉로 228-73,35.33667796,126.9980464,46.704,1,세탁기+냉장고+가구+신발 등,담양군청
51,용산구 재활용센터,서울특별시 용산구 한강대로67길 22-20(한강로1가),37.53764656,126.971403,360,1,가전제품+가구류+사무용 기기+기타 재활용 가능한 물품,용산구청
52,용산구 재활용센터,서울특별시 용산구 한강대로67길 22-20(한강로1가),37.53764656,126.971403,360,1,가전제품+가구류+사무용 기기+기타 재활용 가능한 물품,용산구청
53,영광군환경관리센터,전라남도 영광군 홍농읍 홍농로8길 214,35.42665086,126.4321006,968,1,PET 등 15개 품목,전라남도 영광군청
54,대영기업,울산광역시 남구 여천로 174,35.52604273,129.3528173,2288.29,13,합성수지+파지+고철외,울산광역시 북구청
55,울주군 재활용품 선별장,울산광역시 울주군 온산읍 화산로 113-11,35.4194608,129.3287862,1432,1,폐합성수지+종이류+플라스틱+고철+캔류 등,울산광역시 울주군청
56,김천시재활용선별장,경상북도 김천시 공단4길 51-11,36.15896481,128.1235108,14660,0,재활용품(29품목),해동자원
57,울주군 재활용품 선별장,울산광역시 울주군 온산읍 화산로 113-11,35.4194608,129.3287862,1432,1,폐합성수지+종이류+플라스틱+고철+캔류,울산광역시 울주군청
58,재활용선별장,광주광역시 서구 서창둑길 166(세하동),35.12150861,126.8264274,2880,16,"대형폐기물 및 재활용품 수집·운반·처리, 선별장 내 시설·장비 유지관리",서구청 청소행정과
59,환경관리센터,경상북도 군위군 군위읍 내량길 150,36.2367537,128.5419155,31697,1,생활폐기물 + 재활용폐기물,경상북도 군위군청
60,보성군 생활자원회수센터,전라남도 보성군 보성읍 평동로 1656,34.78225484,127.0870977,198,4,플라스틱류+병류+스티로폼류+고철류 등,보성군청 환경생태과
61,영천시 그린환경센터,경상북도 영천시 바깥완산길 433 (완산동),35.96461799,128.9694261,940,3,"PET, 플라스틱, 고철, 유리병, 종이 등",경상북도 영천시청
62,제천시자원관리센터,충청북도 제천시 북부로 1860,37.12556968,128.1723422,150,1,가구,충청북도 제천시청
63,태백시 생활자원회수센터,"강원도 태백시 용정길 307(통동,위생매립지)",37.1976912,129.003658,797.8,1,종이+플라스틱+공병+고철+캔+장판 등,강원도 태백시청
64,고성군생활자원회수센터,고성군 죽왕면 짱고개길 253,38.363431,128.481443,1696,3,PET+PS+컬캔+알류미늄캔,고성군청
