행정구역별(1),행정구역별(2),year,주민1인당 생활폐기물배출량,생활폐기물발생량,주민등록인구
경상북도,김천시,2011,0.8,113.2,136185
경상북도,안동시,2011,1.1,192.7,168157
경상북도,구미시,2011,0.6,254.6,413446
경상북도,영주시,2011,1.5,169,114148
경상북도,영천시,2011,0.6,65.4,104182
경상북도,상주시,2011,0.9,96.5,104685
경상북도,문경시,2011,1.4,105.2,76727
경상북도,경산시,2011,0.8,187.7,243684
경상북도,군위군,2011,0.7,17.6,24268
경상북도,의성군,2011,1.5,86.4,57744
경상북도,청송군,2011,1,27.6,26569
경상북도,영양군,2011,0.8,14.1,18241
경상북도,영덕군,2011,1,42.6,40794
경상북도,청도군,2011,0.4,16.4,44298
경상북도,고령군,2011,0.6,19.6,35455
경상북도,성주군,2011,0.5,22.7,45640
경상북도,칠곡군,2011,0.9,110.6,118838
경상북도,예천군,2011,0.7,30.9,46579
경상북도,봉화군,2011,1.1,37.5,34192
경상북도,울진군,2011,1.1,55.7,52045
경상북도,울릉군,2011,1.4,15.5,10742
경상남도,진주시,2011,1.1,376.3,335502
경상남도,통영시,2011,1.4,191,140195
경상남도,사천시,2011,1.3,146.1,114133
경상남도,김해시,2011,0.9,448.7,507062
경상남도,밀양시,2011,0.8,88.6,109329
경상남도,거제시,2011,1.2,280.2,232787
경상남도,양산시,2011,0.8,213.5,266403
경상남도,창원시,2011,1.1,1156,1091881
경상남도,의령군,2011,0.7,20.9,30045
경상남도,함안군,2011,0.7,43.7,66971
경상남도,창녕군,2011,0.8,46.9,62490
경상남도,고성군,2011,0.6,32.2,57264
경상남도,남해군,2011,0.7,37.6,50242
경상남도,하동군,2011,0.7,40.1,53975
경상남도,산청군,2011,0.9,33.7,35651
경상남도,함양군,2011,0.6,26.5,41081
경상남도,거창군,2011,0.9,56.4,63146
경상남도,합천군,2011,0.7,36.2,50608
제주특별자치도,제주시,2011,1.3,557.4,422790
제주특별자치도,서귀포시,2011,1.4,207.3,153366
서울특별시,종로구,2012,2.3,386.6,165207
서울특별시,중구,2012,4.1,553.4,133360
서울특별시,용산구,2012,0.9,227.9,243232
서울특별시,성동구,2012,0.9,267.6,299604
서울특별시,광진구,2012,1,368.5,371313
서울특별시,동대문구,2012,1.1,400,363258
서울특별시,중랑구,2012,0.5,222.5,419295
서울특별시,성북구,2012,0.6,300.6,481857
서울특별시,강북구,2012,0.7,242.5,343157
서울특별시,도봉구,2012,1.1,400.4,362270
서울특별시,노원구,2012,0.5,307.9,597189
서울특별시,은평구,2012,0.5,261.1,501480
서울특별시,서대문구,2012,0.8,263.6,315113
서울특별시,마포구,2012,0.7,279.6,384644
서울특별시,양천구,2012,0.6,274.5,495911
서울특별시,강서구,2012,0.7,399.1,567431
서울특별시,구로구,2012,0.7,285.7,427520
서울특별시,금천구,2012,0.9,223.5,243288
서울특별시,영등포구,2012,1,403.2,391408
서울특별시,동작구,2012,0.8,337.7,405491
서울특별시,관악구,2012,0.6,317.6,523029
서울특별시,서초구,2012,1.3,578.1,435044
서울특별시,강남구,2012,1.7,984.9,564197
서울특별시,송파구,2012,1,644.2,673115
서울특별시,강동구,2012,0.5,258.6,487905
부산광역시,중구,2012,1.7,81.3,48148
부산광역시,서구,2012,1,117.8,120828
부산광역시,동구,2012,1,94.3,98529
부산광역시,영도구,2012,0.9,120.1,139765
부산광역시,부산진구,2012,1,373.7,392731
부산광역시,동래구,2012,0.8,234.2,278767
부산광역시,남구,2012,0.8,223.5,291175
부산광역시,북구,2012,0.8,258.5,312937
부산광역시,해운대구,2012,0.9,383.2,428188
부산광역시,사하구,2012,0.9,323.7,352726
부산광역시,금정구,2012,0.9,219.9,255692
부산광역시,강서구,2012,1.2,79.7,65806
부산광역시,연제구,2012,0.8,174.8,211536
부산광역시,수영구,2012,0.8,144.6,176666
부산광역시,사상구,2012,1.1,267.2,250424
부산광역시,기장군,2012,0.8,92.5,114566
대구광역시,중구,2012,2.5,188.4,75439
대구광역시,동구,2012,1,352.6,342092
대구광역시,서구,2012,1.2,253.3,220211
대구광역시,남구,2012,1.3,217.1,168715
대구광역시,북구,2012,1,436.3,448485
대구광역시,수성구,2012,0.9,415.1,459779
대구광역시,달서구,2012,1,587.4,606557
대구광역시,달성군,2012,1.3,233.6,184366
인천광역시,중구,2012,2,195.9,98648
인천광역시,동구,2012,1.2,89.3,76720
인천광역시,남구,2012,0.7,296.8,414500
인천광역시,연수구,2012,0.5,152.6,292589
인천광역시,남동구,2012,0.6,282.2,503597
인천광역시,부평구,2012,0.6,353.4,559047
인천광역시,계양구,2012,0.7,241.8,342202
인천광역시,서구,2012,0.5,219.2,469887
인천광역시,미추홀구,2012,-,-,-
인천광역시,강화군,2012,1.2,79.4,66752
인천광역시,옹진군,2012,1.1,22.6,20039
광주광역시,동구,2012,1.6,165.6,105580
광주광역시,서구,2012,1.1,338.7,316545
광주광역시,남구,2012,0.8,177.6,218313
광주광역시,북구,2012,0.8,353.1,443677
광주광역시,광산구,2012,0.8,293.8,385101
대전광역시,동구,2012,1,240.9,251945
대전광역시,중구,2012,1,267.7,264125
대전광역시,서구,2012,0.9,442.5,496513
대전광역시,유성구,2012,0.9,282.7,306312
대전광역시,대덕구,2012,1.1,235.1,205688
울산광역시,중구,2012,1.1,246.7,233013
울산광역시,남구,2012,1.2,407.6,346836
울산광역시,동구,2012,1.3,224.6,175479
울산광역시,북구,2012,1.1,195.7,184088
울산광역시,울주군,2012,1,205.8,207840
경기도,수원시,2012,1,1074.7,1120258
