행정구역별(1),행정구역별(2),year,일반폐기물재활용률,총재활용량,생활폐기물총발생량
충청남도,태안군,2011,52.7,33.1,62.8
충청남도,충남 당진군,2011,58.2,86.0,147.7
전라북도,전주시,2011,74.9,461.9,616.3
전라북도,군산시,2011,48.1,153.8,319.8
전라북도,익산시,2011,72.7,230.0,316.4
전라북도,정읍시,2011,46.7,35.6,76.3
전라북도,남원시,2011,39.8,33.6,84.5
전라북도,김제시,2011,59.2,36.9,62.3
전라북도,완주군,2011,81.8,128.5,157.1
전라북도,진안군,2011,26.5,5.4,20.4
전라북도,무주군,2011,44.5,9.8,22.0
전라북도,장수군,2011,24.2,4.8,19.8
전라북도,임실군,2011,28.0,4.6,16.4
전라북도,순창군,2011,45.5,10.2,22.4
전라북도,고창군,2011,69.2,28.7,41.5
전라북도,부안군,2011,65.7,36.4,55.4
전라남도,목포시,2011,30.4,92.0,302.3
전라남도,여수시,2011,32.5,131.9,405.8
전라남도,순천시,2011,38.1,93.5,245.6
전라남도,나주시,2011,65.7,61.0,92.8
전라남도,광양시,2011,37.6,54.1,144.0
전라남도,담양군,2011,25.9,9.7,37.5
전라남도,곡성군,2011,64.7,12.1,18.7
전라남도,구례군,2011,32.8,6.4,19.5
전라남도,고흥군,2011,42.4,25.5,60.2
전라남도,보성군,2011,57.3,18.8,32.8
전라남도,화순군,2011,59.7,26.2,43.9
전라남도,장흥군,2011,49.4,19.6,39.7
전라남도,강진군,2011,60.3,14.6,24.2
전라남도,해남군,2011,70.1,37.5,53.5
전라남도,영암군,2011,37.4,13.1,35.0
전라남도,무안군,2011,46.8,27.9,59.6
전라남도,함평군,2011,34.8,6.4,18.4
전라남도,영광군,2011,33.6,16.3,48.5
전라남도,장성군,2011,10.2,2.0,19.6
전라남도,완도군,2011,29.3,18.0,61.4
전라남도,진도군,2011,48.5,11.5,23.7
전라남도,신안군,2011,29.7,12.5,42.1
경상북도,포항시,2011,55.0,354.1,643.9
경상북도,경주시,2011,52.9,142.2,268.8
경상북도,김천시,2011,54.9,62.2,113.2
경상북도,안동시,2011,52.6,101.3,192.7
경상북도,구미시,2011,46.9,119.4,254.6
경상북도,영주시,2011,45.6,77.1,169.0
경상북도,영천시,2011,45.0,29.4,65.4
경상북도,상주시,2011,48.8,47.1,96.5
경상북도,문경시,2011,27.6,29.0,105.2
경상북도,경산시,2011,57.9,108.7,187.7
경상북도,군위군,2011,45.5,8.0,17.6
경상북도,의성군,2011,67.6,58.4,86.4
경상북도,청송군,2011,39.9,11.0,27.6
경상북도,영양군,2011,24.1,3.4,14.1
경상북도,영덕군,2011,13.1,5.6,42.6
경상북도,청도군,2011,61.6,10.1,16.4
경상북도,고령군,2011,28.6,5.6,19.6
경상북도,성주군,2011,22.9,5.2,22.7
경상북도,칠곡군,2011,28.6,31.6,110.6
경상북도,예천군,2011,29.4,9.1,30.9
경상북도,봉화군,2011,50.7,19.0,37.5
경상북도,울진군,2011,49.4,27.5,55.7
경상북도,울릉군,2011,13.5,2.1,15.5
경상남도,진주시,2011,57.1,214.8,376.3
경상남도,통영시,2011,33.5,63.9,191.0
경상남도,사천시,2011,37.7,55.1,146.1
경상남도,김해시,2011,65.3,293.0,448.7
경상남도,밀양시,2011,50.9,45.1,88.6
경상남도,거제시,2011,51.0,142.8,280.2
경상남도,양산시,2011,44.9,95.9,213.5
경상남도,창원시,2011,51.6,596.9,1156.0
경상남도,의령군,2011,45.5,9.5,20.9
경상남도,함안군,2011,17.2,7.5,43.7
경상남도,창녕군,2011,61.8,29.0,46.9
경상남도,고성군,2011,45.0,14.5,32.2
경상남도,남해군,2011,62.5,23.5,37.6
경상남도,하동군,2011,42.4,17.0,40.1
경상남도,산청군,2011,55.5,18.7,33.7
경상남도,함양군,2011,22.6,6.0,26.5
경상남도,거창군,2011,28.2,15.9,56.4
경상남도,합천군,2011,41.7,15.1,36.2
제주특별자치도,제주시,2011,56.7,316.3,557.4
제주특별자치도,서귀포시,2011,45.2,93.7,207.3
서울특별시,종로구,2012,69.6,268.9,386.6
서울특별시,중구,2012,59.7,330.5,553.4
서울특별시,용산구,2012,53.8,122.5,227.9
서울특별시,성동구,2012,64.7,173.1,267.6
서울특별시,광진구,2012,75.1,276.6,368.5
서울특별시,동대문구,2012,70.7,282.8,400.0
서울특별시,중랑구,2012,56.0,124.5,222.5
서울특별시,성북구,2012,57.4,172.6,300.6
서울특별시,강북구,2012,67.8,164.4,242.5
서울특별시,도봉구,2012,81.6,326.9,400.4
서울특별시,노원구,2012,60.8,187.3,307.9
서울특별시,은평구,2012,52.1,136.0,261.1
서울특별시,서대문구,2012,62.5,164.8,263.6
서울특별시,마포구,2012,55.5,155.3,279.6
서울특별시,양천구,2012,63.1,173.2,274.5
서울특별시,강서구,2012,71.7,286.1,399.1
서울특별시,구로구,2012,53.3,152.4,285.7
서울특별시,금천구,2012,61.4,137.2,223.5
서울특별시,영등포구,2012,61.1,246.5,403.2
서울특별시,동작구,2012,71.3,240.8,337.7
서울특별시,관악구,2012,59.0,187.5,317.6
서울특별시,서초구,2012,69.2,400.2,578.1
서울특별시,강남구,2012,69.0,679.8,984.9
서울특별시,송파구,2012,72.6,467.5,644.2
서울특별시,강동구,2012,56.9,147.1,258.6
부산광역시,중구,2012,42.7,34.7,81.3
부산광역시,서구,2012,66.5,78.3,117.8
부산광역시,동구,2012,69.5,65.5,94.3
부산광역시,영도구,2012,76.1,91.4,120.1
부산광역시,부산진구,2012,66.9,250.1,373.7
부산광역시,동래구,2012,71.0,166.2,234.2
부산광역시,남구,2012,72.9,163.0,223.5
부산광역시,북구,2012,74.6,192.8,258.5
부산광역시,해운대구,2012,72.0,275.9,383.2
부산광역시,사하구,2012,62.6,202.5,323.7
부산광역시,금정구,2012,72.9,160.4,219.9
부산광역시,강서구,2012,51.8,41.3,79.7
부산광역시,연제구,2012,72.1,126.1,174.8
부산광역시,수영구,2012,73.5,106.3,144.6
부산광역시,사상구,2012,69.5,185.8,267.2
부산광역시,기장군,2012,59.2,54.8,92.5
대구광역시,중구,2012,44.8,84.4,188.4
대구광역시,동구,2012,48.4,170.8,352.6
대구광역시,서구,2012,53.5,135.6,253.3
대구광역시,남구,2012,48.5,105.4,217.1
대구광역시,북구,2012,50.1,218.4,436.3
대구광역시,수성구,2012,55.5,230.5,415.1
대구광역시,달서구,2012,53.4,313.6,587.4
대구광역시,달성군,2012,64.1,149.7,233.6
인천광역시,중구,2012,60.2,118.0,195.9
인천광역시,동구,2012,76.6,68.4,89.3
인천광역시,남구,2012,63.4,188.3,296.8
인천광역시,연수구,2012,64.5,98.4,152.6
인천광역시,남동구,2012,55.8,157.4,282.2
인천광역시,부평구,2012,52.0,183.8,353.4
인천광역시,계양구,2012,68.8,166.3,241.8
인천광역시,서구,2012,53.3,116.9,219.2
인천광역시,미추홀구,2012,-,-,-
인천광역시,강화군,2012,72.0,57.2,79.4
인천광역시,옹진군,2012,60.6,13.7,22.6
광주광역시,동구,2012,67.0,111.0,165.6
광주광역시,서구,2012,64.3,217.8,338.7
광주광역시,남구,2012,65.8,116.8,177.6
광주광역시,북구,2012,59.1,208.7,353.1
광주광역시,광산구,2012,58.7,172.5,293.8
대전광역시,동구,2012,64.5,155.3,240.9
대전광역시,중구,2012,68.3,182.9,267.7
대전광역시,서구,2012,64.2,284.3,442.5
대전광역시,유성구,2012,69.6,196.9,282.7
대전광역시,대덕구,2012,67.5,158.6,235.1
울산광역시,중구,2012,51.4,126.7,246.7
울산광역시,남구,2012,65.6,267.3,407.6
울산광역시,동구,2012,57.3,128.7,224.6
울산광역시,북구,2012,55.2,108.1,195.7
울산광역시,울주군,2012,64.8,133.3,205.8
경기도,수원시,2012,55.6,598.0,1074.7
경기도,성남시,2012,52.7,407.7,773.5
경기도,의정부시,2012,61.6,256.1,415.8
