,시도,시설 수,일별 시설용량(톤),1일평균가동시간,처리량 (톤),설치비 (국비),설치비 (지방비),설치비 (기타),연간유지관리비,관리인원,외부공급(열),외부공급(전력),자체사용(열),자체사용(전력),연도
153,경기도,26,5084,24,1297414,237262,686837,498768,168791,1075,1607230,48941,1077655,287639,2018
154,강원도,15,577,23,147062,54982,78273,39757,23018,225,0,118205,17032,64286,2018
155,충청북도,11,709,21,213730,80480,153352,3058,23279,209,180303,5151,219699,34257,2018
156,충청남도,10,1081,24,319475,58828,113313,75918,29092,225,292118,0,198579,0,2018
157,전라북도,3,612,24,166028,23311,18403,60258,13531,100,131526,0,137922,0,2018
158,전라남도,53,500,11,120839,59218,82520,25011,23560,347,41003,0,69274,263,2018
159,경상북도,18,830,21,251101,90454,104216,90889,36342,301,20107,105872,111752,188254,2018
160,경상남도,17,1554,24,439041,106318,274700,66635,62173,469,301754,92579,263269,181985,2018
161,제주특별자치도,5,276,14,67025,26845,42535,0,16762,112,776,12,26383,86377,2018
163,서울특별시,5,2898,24,713757,61302,314935,27689,66693,315,1174613,13418,328638,19180,2019
164,부산광역시,2,510,24,156891,20542,59729,9269,13837,68,244982,0,88784,0,2019
165,대구광역시,1,480,24,81294,8201,55897,7920,9081,49,100591,2477,41124,25046,2019
166,인천광역시,9,997,10,237647,73816,147244,370,27308,57,123995,15258,126203,0,2019
167,광주광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,2019
168,대전광역시,1,320,19,82359,21508,48970,0,10491,42,159705,0,62981,0,2019
169,울산광역시,1,950,24,276165,54074,49230,61300,11625,90,181510,0,118205,87000,2019
170,세종특별자치시,1,45,24,12468,6260,25090,0,2468,22,0,0,23177,0,2019
171,경기도,27,5290,23,1303190,250761,703717,539465,192531,1157,1857502,30045,1098394,2151151,2019
172,강원도,15,606,23,162649,60357,122721,8649,27340,262,4477,25561,68127,42144,2019
173,충청북도,10,741,22,219889,88530,162769,500,25751,227,197376,4051,225192,21713,2019
174,충청남도,11,1111,24,317772,62395,122195,76496,53269,258,272962,18881,249330,11292,2019
175,전라북도,3,612,24,141304,23311,18403,60258,14863,102,141275,34142,152346,50983,2019
176,전라남도,53,503,11,129952,57371,92828,25011,26437,358,44184,0,63095,8952,2019
177,경상북도,18,1215,22,230654,157040,134840,174820,42191,345,18823,134698,119924,151872,2019
178,경상남도,17,1554,24,443735,180118,274800,66635,64751,479,268391,136895,233637,106492,2019
179,제주특별자치도,6,776,15,89891,97929,115543,0,27028,167,649,51834,47080,81339,2019
