region,yr,life_waste,life_waste_per_pop,pop,total_recycle,total_waste,recycle_ratio,income_indivisual,corp_activated,corp_recycled_waste,corp_sales_amount,corp_total_sales,total_amount_daily,total_recycled_daily,total_cremation
인천광역시,2015,1750.0000000000002,6.3,2904876,972.5,1750.0000000000002,55.57142857142856,16598,372,1951840,1348992,265948943,333852.1,190116.3,655.6
제주특별자치도,2015,1162.3,3.9000000000000004,608325,657.2,1162.3,56.543061171814514,16685,92,153934,148631,42896196,4155.8,3497.0000000000005,226.5
강원도,2016,2179.1,27.3,1549193,1166.7999999999997,2179.1,53.54504153090724,16798,311,2715491,285004,81800205,15771.200000000004,14396.800000000001,447.70000000000005
경기도,2016,12069.500000000002,32.9,12536474,7133.1,12069.500000000002,59.10021127635775,18611,1517,4151238,3379122,1156928707,80558.49999999996,67794.19999999998,3716.1
경상남도,2016,3951.4000000000005,21.6,3364764,2161.5999999999995,3951.4000000000005,54.70466163891277,17744,1025,3923308,2493309,435483489,399400,240996,1163.5
경상북도,2016,2885.3999999999996,25.099999999999998,2701160,1273.6999999999994,2885.3999999999996,44.14292645733692,16894,1064,5183142,5530244,689682659,662654.5999999997,400565.80000000005,891.4000000000001
전라북도,2016,1847.4999999999998,12.299999999999999,1868354,1108.8,1847.4999999999998,60.01623815967524,16499,507,2152435,2504874,171537533,827845.1000000001,418390.3000000001,386.9
충청남도,2016,2502,16.8,2078572,1305.6999999999998,2502,52.18625099920063,16952,497,2990483,2926158,462771863,52365.39999999999,46581.200000000004,953.0999999999999
충청북도,2016,2114.4,13.100000000000001,1583982,1167.4,2114.4,55.2118804388952,16915,677,3019940,2748840,361629445,18563.2,14931.899999999998,646.5
광주광역시,2016,1247.2,4.5,1472802,737.9000000000001,1247.2,59.16452854393843,18232,111,158765,74285,34166554,6200.6,5418.099999999999,223.2
대구광역시,2016,2956.9000000000005,10.6,2487823,1897.4,2956.9000000000005,64.16855490547532,17848,257,469649,271193,161704173,137893,84322.19999999998,315.40000000000003
대전광역시,2016,1628.5,5.6,1518024,1072.7,1628.5,65.87043291372429,18741,64,42179,50361,9388063,67889.09999999999,35060.100000000006,273.9
부산광역시,2016,3352.2000000000003,16.2,3513361,2679.3999999999996,3352.2000000000003,79.92959847264481,17525,149,594982,437002,67753740,7004105.5,6117519.199999999,422.4
서울특별시,2016,9608.000000000002,27.700000000000003,10018537,6549.699999999999,9608.000000000002,68.16923397169023,21295,21,23407,22565,1586935,45502.09999999999,39203.4,2291.9
울산광역시,2016,1591.4,6.6,1173568,839.3000000000001,1591.4,52.73972602739726,21422,301,1183495,931734,171367516,14065.9,10415.699999999997,479.40000000000003
인천광역시,2016,2381,7.9,2927195,1330.7999999999997,2381,55.89248215035698,17222,365,1915888,1291602,318014240,335765.19999999995,191862.3,669.2
제주특별자치도,2016,1305.3,4.4,625451,697.3,1305.3,53.42066957787481,17366,90,136050,125938,23050756,5131.7,4300.7,304.6
강원도,2017,2333.5000000000005,28.900000000000002,1549212,1289.2999999999997,2333.5000000000005,55.251767730876345,17484,221,3072734,2733056,77999606,15144.199999999993,13631.1,416.59999999999997
경기도,2017,11605.3,29.800000000000004,12728620,7075.599999999999,11605.3,60.96869533747512,19375,1064,3026197,4282947,1292350498,76861.70000000004,64850.59999999997,3694.7
경상남도,2017,4003.8999999999996,21.1,3374065,2229.7,4003.8999999999996,55.68820400109893,18011,782,6476989,6050283,455307160,438356.39999999997,263162.9,1128.8
경상북도,2017,3163.5,27.099999999999998,2698803,1521.3,3163.5,48.0891417733523,17428,811,5271216,6492527,574497745,698394.7000000002,422367.2000000002,892.1
전라북도,2017,1916.2,12.9,1863298,1162.8,1916.2,60.682600981108436,17059,316,1210102,811887,88855032,829403.4,418961.8,383.5
충청남도,2017,2718.3,17.500000000000004,2097406,1408.2,2718.3,51.80443659640216,17788,398,2921262,2751388,383719832,53977.90000000001,46113.000000000015,1067.8
충청북도,2017,2032.9,13.500000000000002,1591674,1039.3999999999999,2032.9,51.128929116041114,17465,414,2990696,2920456,186394917,17418.500000000004,14074.599999999993,657.4
광주광역시,2017,1269.1000000000001,4.6000000000000005,1469583,1085.1,1269.1000000000001,85.50153652194467,18926,116,137499,281657,41286897,12019.6,11168.499999999998,26.3
대구광역시,2017,2895.4,10.499999999999998,2484688,2217,2895.4,76.56973129792084,18350,203,537618,269834,126089758,11431.1,9644.499999999998,250
대전광역시,2017,1664,5.9,1514354,1057.6,1664,63.55769230769231,19314,34,59490,60337,6427102,59264.700000000004,35093.899999999994,225.1
부산광역시,2017,3343.2000000000003,16.5,3496779,2666.9,3343.2000000000003,79.77087820052644,18189,144,553321,389207,92212328,19706.200000000004,17734.700000000004,416.09999999999997
