"행정구역별","폐기물별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"중구","당해년도발생량","발생량[톤/일]","톤/일","59","192","17377.2","106.5","59","59.3","13833.5","23834.9","69.2","85.3",
"서구","합계","재활용률[%]","%","86.4","28.7","88","85.3","85.3","90.6","91.5","89","96.1","96.9",
"서구","합계","발생량[톤/일]","톤/일","531","1826.9","4988.3","474.9","491.7","592.3","256047.5","175863.9","1021.5","1199.2",
"서구","합계","재활용[톤/일]","톤/일","459","524.2","4492.3","404.9","419.2","536.3","234330","156555","981.3","1162.2",
"서구","생활계폐기물","발생량[톤/일]","톤/일","125","120.9","120.1","117.8","117.4","121.7","44566.5","44371.4","117.4","118.3",
"서구","생활계폐기물","재활용[톤/일]","톤/일","85","80.9","80","78.3","78","86.2","30842.5","31286.3","82.3","98.3",
"서구","사업장배출시설계폐기물","발생량[톤/일]","톤/일","49","56.9","60.3","52.1","72.3","53.4","18870.5","20221","70.2","62.2",
"서구","사업장배출시설계폐기물","재활용[톤/일]","톤/일","18","24.1","22.7","22.9","42","38.5","16607.5","16680.5","70.2","57.2",
"서구","건설폐기물","발생량[톤/일]","톤/일","354","419.7","465.2","293.1","290.4","403.8","188924","108551","811.4","990.3",
"서구","건설폐기물","재활용[톤/일]","톤/일","354","419.2","465","293","289.4","402","183887","106507","811.4","988.9",
"서구","지정폐기물","발생량[톤/일]","톤/일","3","1229.4","4342.7","11.9","11.6","13.4","3686.5","2720.5","22.5","28.4",
"서구","지정폐기물","재활용[톤/일]","톤/일","2","-","3924.6","10.7","9.8","9.6","2993","2081.2","17.4","17.8",
"서구","전년도이월량","발생량[톤/일]","톤/일","1","8","161.2",".2","0","0","109.5","32.3",".1",".5",
"서구","당해년도발생량","발생량[톤/일]","톤/일","3","1221.4","4181.5","11.7","11.5","13.3","3577","2688.2","22.4","27.8",
"동구","합계","재활용률[%]","%","91.6","36.3","90.3","90","92.1","92.9","92.1","95","93.9","95.4",
"동구","합계","발생량[톤/일]","톤/일","467","894.5","6678.2","338.5","445.4","432.8","158775","247967.1","541.5","459.5",
"동구","합계","재활용[톤/일]","톤/일","428","324.8","5713","304.8","410.2","402.2","146255.5","235526.4","508.7","438.4",
"동구","생활계폐기물","발생량[톤/일]","톤/일","104","100.8","98.1","94.3","94.7","100.7","36463.5","35818.4","94","95.2",
"동구","생활계폐기물","재활용[톤/일]","톤/일","71","67.4","66.2","65.5","64.6","74.5","25294.5","25475.8","66.8","81.5",
"동구","사업장배출시설계폐기물","발생량[톤/일]","톤/일","-","-","-","-","-","-","-","0","0",".9",
"동구","사업장배출시설계폐기물","재활용[톤/일]","톤/일","-","-","-","-","-","-","-","0","0","0",
"동구","건설폐기물","발생량[톤/일]","톤/일","350","549.4","283.9","221.9","324.8","318.4","114683","196625.5","423.9","338.4",
"동구","건설폐기물","재활용[톤/일]","톤/일","344","257.4","279.6","221.9","324.1","316.9","114354.5","196479.5","423.3","338.3",
"동구","지정폐기물","발생량[톤/일]","톤/일","14","244.3","6296.2","22.3","25.8","13.7","7628.5","15523.2","23.6","25",
"동구","지정폐기물","재활용[톤/일]","톤/일","13","-","5367.2","17.4","21.5","10.8","6606.5","13571.1","18.6","18.6",
"동구","전년도이월량","발생량[톤/일]","톤/일","-",".1","125.5",".9","1.3",".7","328.5","343.9","2.7","1.8",
"동구","당해년도발생량","발생량[톤/일]","톤/일","14","244.2","6170.7","21.4","24.6","13","7300","15179.3","21","23.2",
"영도구","합계","재활용률[%]","%","86.7","77","85.2","86.3","79.9","90.2","83.1","85.8","86.2","94.5",
"영도구","합계","발생량[톤/일]","톤/일","575","707","13989","529","427.5","549.8","185529.5","179456.5","521.2","588.6",
